Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,2;12,6;53,145
11,3;14,2;53,177
13,3;13,7;52,902
10,4;13,3;53,677
11,5;14;53,159
13,3;15,7;55,64
13,3;13,8;53,804
14,8;15,5;55,573
14;16,7;56,31
62,6;71,5;61,31
62,6;71,5;61,31
100;113,6;72,212
100;113,1;72,515
100;112,9;74,528
100;112,9;74,528
100;112,9;75,84
100;112,9;71,395
100;112,9;75,677
100;113;72,557
100;112,9;72,007
100;113,1;71,257
100;112,8;72,82
100;113;72,314
100;113;71,236
100;112,7;76,975
100;112,8;74,968
100;112,9;73,286
100;113;71,59
100;113;71,822
100;112,9;72,379
100;112,9;72,652
99,9;112,9;72,24
43,7;46,8;71,705
3,2;8,6;45,877
;;
74,084375;83,7125;67,60515625
