Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
11,4;13,1;53,169
12;13;53,201
14;16,4;54,648
9,7;12,6;53,631
12;13,8;53,608
10,2;13,2;53,368
11,2;13,3;53,106
11,6;13,2;53,001
35,1;34,5;53,672
100;114,4;74,833
100;114,4;74,833
100;113,5;71,447
100;113,1;74,984
100;113,1;74,114
100;113,1;73,179
100;113,3;71,487
100;113,1;72,047
100;113,1;72,122
100;113,1;72,122
99,9;112,9;74,258
19,9;23,4;60,52
7,2;7,1;45,09
4,8;7;45,28
3,8;5,1;41,364
5,1;5;41,538
4,8;5,1;41,005
;;
70,58235294;79,91176471;66,62947059
