Celkové zaťaženie CPU [%];Celkové využitie CPU [%];Celková spotreba CPU [W]
9,3;12,3;51,2
12,6;14,1;51,968
10,3;12,5;50,625
52;61;60,72
100;114;87,577
100;113,1;84,528
100;112,5;81,552
100;112,4;83,293
100;112,4;82,664
100;112,4;82,664
100;112,4;81,855
100;112,4;82,753
100;112,2;82,795
100;112,6;82,846
100;112,4;81,939
100;112,4;82,801
100;112,4;82,415
100;112,4;82,167
100;112,4;82,381
100;112,4;82,381
100;112,6;82,56
100;112,6;82,56
100;112,4;83,315
100;112,4;83,407
100;112,4;82,282
100;112,2;83,43
100;112,5;82,66
100;112,1;82,861
100;112,2;82,979
100;112,2;82,979
100;112,3;82,541
100;112,3;82,437
100;112,1;83,137
100;112,3;81,658
100;112,2;82,567
100;112,2;82,567
100;112,1;82,322
100;112,5;83,245
100;112,1;82,824
100;112,2;82,814
99,9;112,1;84,567
35;39,7;69,139
5,3;6;40,702
;;
94,93;106,8;81,170175
