timestamp; utilization,gpu [%]; utilization,memory [%]; poer,dra [W]
3,5,2026  15:40:29;20;4;90,91
3,5,2026  15:40:29;20;4;105,47
3,5,2026  15:40:29;20;4;105,39
3,5,2026  15:40:29;20;4;105,36
3,5,2026  15:40:29;20;4;105,37
3,5,2026  15:40:29;20;4;105,57
3,5,2026  15:40:29;20;4;105,5
3,5,2026  15:40:29;20;4;105,34
3,5,2026  15:40:29;20;4;105,29
3,5,2026  15:40:30;100;21;105,47
3,5,2026  15:40:30;100;21;105,58
3,5,2026  15:40:30;100;21;105,43
3,5,2026  15:40:30;100;21;105,38
3,5,2026  15:40:30;100;21;105,29
3,5,2026  15:40:30;100;21;105,32
3,5,2026  15:40:30;100;21;105,54
3,5,2026  15:40:30;100;21;105,56
3,5,2026  15:40:30;100;21;105,35
3,5,2026  15:40:31;100;21;105,51
3,5,2026  15:40:31;100;21;105,55
3,5,2026  15:40:31;100;21;105,45
3,5,2026  15:40:31;100;21;105,47
3,5,2026  15:40:31;100;21;105,46
3,5,2026  15:40:31;100;21;105,44
3,5,2026  15:40:31;100;21;105,57
3,5,2026  15:40:31;100;21;105,45
3,5,2026  15:40:31;100;21;105,6
3,5,2026  15:40:32;100;21;105,55
3,5,2026  15:40:32;100;21;105,58
3,5,2026  15:40:32;100;21;105,53
3,5,2026  15:40:32;100;21;105,58
3,5,2026  15:40:32;100;21;105,47
3,5,2026  15:40:32;100;21;105,6
3,5,2026  15:40:32;100;21;105,49
3,5,2026  15:40:32;100;21;105,42
3,5,2026  15:40:32;100;21;105,56
3,5,2026  15:40:33;100;21;105,5
3,5,2026  15:40:33;100;21;105,56
3,5,2026  15:40:33;100;21;105,38
3,5,2026  15:40:33;100;21;105,42
3,5,2026  15:40:33;100;21;105,43
3,5,2026  15:40:33;100;21;105,51
3,5,2026  15:40:33;100;21;105,61
3,5,2026  15:40:33;100;21;105,36
3,5,2026  15:40:33;100;21;105,46
3,5,2026  15:40:33;100;21;105,65
3,5,2026  15:40:34;100;21;105,61
3,5,2026  15:40:34;100;21;105,79
3,5,2026  15:40:34;100;21;105,59
3,5,2026  15:40:34;100;21;91,57
3,5,2026  15:40:34;100;21;74,32
3,5,2026  15:40:34;100;21;74,23
3,5,2026  15:40:34;100;21;74,12
3,5,2026  15:40:34;100;21;74,16
3,5,2026  15:40:34;43;9;74,18
3,5,2026  15:40:35;43;9;74,17
3,5,2026  15:40:35;43;9;74,18
3,5,2026  15:40:35;43;9;74,2
3,5,2026  15:40:35;43;9;74,18
3,5,2026  15:40:35;43;9;74,15
3,5,2026  15:40:35;43;9;74,12
3,5,2026  15:40:35;43;9;74,17
3,5,2026  15:40:35;43;9;74,14
3,5,2026  15:40:35;43;9;74,11
;;;
Priemer:;79,84375;16,734375;98,19171875
