[%],;[%],_1;[W]
94;8;89,08
94;8;89,18
94;8;89,09
94;8;89,11
94;8;89,09
94;8;89,27
94;8;89,09
94;8;88,93
94;8;89,04
99;8;89,07
99;8;89,02
99;8;89,05
99;8;89
99;8;88,96
99;8;88,94
99;8;88,97
99;8;89,32
99;8;89,25
99;8;89,13
99;8;89,19
99;8;89,18
99;8;89,26
99;8;89,16
99;8;89,12
99;8;89,02
99;8;89,21
99;8;89,04
99;8;89,07
99;8;88,87
99;8;89,04
99;8;89,15
99;8;89,04
99;8;88,96
99;8;89,03
99;8;89,19
99;8;89,19
99;8;89,14
99;8;89,15
99;8;89,27
99;8;89,11
99;8;88,99
99;8;89,09
99;8;89,08
99;8;89,19
99;8;89,2
99;8;88,95
99;8;88,89
99;8;88,95
99;8;88,89
99;8;88,92
99;8;88,88
99;8;89,03
99;8;89
99;8;89,03
99;8;89,1
99;8;89,07
99;8;88,97
99;8;89,21
99;8;89,09
99;8;89,24
99;8;89,35
99;8;89,21
99;8;89,2
99;8;89,15
99;8;89,07
99;8;89,02
99;8;89,11
99;8;89,13
99;8;89,06
99;8;88,97
99;8;88,92
99;8;89
99;8;89,09
99;8;89,01
99;8;89,03
99;8;88,96
99;8;89,07
99;8;89
99;8;89,12
99;8;89,06
99;8;89,18
99;8;89,09
99;8;89,19
99;8;88,99
99;8;88,97
99;8;88,99
99;8;89,2
99;8;89,18
99;8;89,14
99;8;88,98
99;8;89,25
99;8;89,3
99;8;89,29
99;8;89,32
99;8;89,28
99;8;89,38
99;8;89,39
99;8;89,25
99;8;89,1
99;8;89,13
99;8;89,18
99;8;89,09
99;8;89,21
99;8;88,99
99;8;89,24
99;8;89,25
99;8;89,12
99;8;89,3
99;8;89,29
99;8;89,2
99;8;89,3
99;8;89,22
99;8;89,04
99;8;89,1
99;8;89,08
99;8;89,23
99;8;89,05
99;8;89,12
99;8;89,25
99;8;89,31
99;8;89,24
99;8;89,33
99;8;89,37
99;8;89,21
99;8;89,17
99;8;74,42
99;8;74,15
99;8;74,14
58;5;74,17
58;5;74,2
58;5;74,18
58;5;74,2
58;5;74,21
58;5;74,19
58;5;74,24
58;5;74,31
58;5;74,21
;;
95,97810219;7,802919708;87,81306569
