[%],;[%],_1;[W]
2;1;76,92
22;5;90,91
22;5;105,43
22;5;105,61
22;5;105,43
22;5;105,38
22;5;105,19
22;5;105,51
22;5;105,48
22;5;105,43
22;5;105,47
99;20;105,52
99;20;105,6
99;20;105,78
99;20;105,61
99;20;105,81
99;20;105,6
99;20;105,8
99;20;105,75
99;20;105,69
99;20;105,78
99;20;105,46
99;20;105,54
99;20;105,67
99;20;105,65
99;20;105,46
99;20;105,68
99;20;89,62
99;20;74,37
72;15;74,27
72;15;74,29
72;15;74,29
72;15;74,3
72;15;74,29
72;15;74,25
72;15;74,33
72;15;74,32
72;15;74,26
1;1;74,27
1;1;74,34
1;1;74,34
1;1;74,26
1;1;74,29
1;1;73,97
;;
60,40909091;12,54545455;92,84590909
