[%],;[%],_1;[W]
8;2;77,71
8;2;78,21
8;2;92,25
8;2;105,76
8;2;105,92
8;2;105,86
8;2;105,89
8;2;105,88
8;2;105,66
100;21;105,85
100;21;105,78
100;21;105,82
100;21;105,81
100;21;105,72
100;21;105,77
100;21;105,75
100;21;105,88
100;21;105,71
100;21;105,8
100;21;105,63
100;21;105,69
100;21;105,65
100;21;105,61
100;21;105,75
100;21;105,69
100;21;91,8
100;21;74,39
79;16;74,25
79;16;74,22
79;16;74,22
79;16;74,18
79;16;74,21
79;16;74,19
79;16;74,21
79;16;74,2
79;16;74,2
0;0;74,16
0;0;74,23
0;0;74,23
0;0;74,19
0;0;74,17
0;0;74,16
0;0;73,13
;;
71,75;15;91,33465116
