[%],;[%],_1;[W]
0;0;76,19
0;0;93,89
0;0;122,83
39;10;135,66
39;10;135,64
39;10;135,82
39;10;136
39;10;135,69
39;10;135,71
39;10;135,85
39;10;135,82
39;10;135,67
39;10;135,86
99;27;148,09
99;27;147,89
99;27;147,89
99;27;148,06
99;27;147,99
99;27;147,95
99;27;148
99;27;135,72
99;27;123,38
99;27;135,48
99;27;135,47
99;27;135,63
99;27;135,58
99;27;135,6
99;27;135,72
99;27;135,9
99;27;135,78
99;27;135,64
99;26;135,82
99;26;135,79
99;26;87,3
99;26;74,35
99;26;74,27
99;26;74,25
99;26;74,25
99;26;74,25
99;26;74,33
16;5;74,31
16;5;74,3
16;5;74,25
16;5;74,27
16;5;74,29
16;5;74,26
16;5;74,26
16;5;74,32
16;5;74,28
;;
69,7173913;18,80434783;115,0928571
